*! 12C energy loss (dE/dX) in C
*! apply ZOOM for details
*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
65.000000	0.0673513 	65.000000	0.0733345 	65.000000	0.0731975 	65.000000	0.0730997 	65.000000	0.0728232 	65.000000	0.073306  	65.000000	2.84562e-05	
70.000000	0.0635972 	70.000000	0.0692067 	70.000000	0.0691184 	70.000000	0.0690024 	70.000000	0.0687624 	70.000000	0.0691801 	70.000000	2.65914e-05	
75.000000	0.0603095 	75.000000	0.0656006 	75.000000	0.0655375 	75.000000	0.0654175 	75.000000	0.0652078 	75.000000	0.0655756 	75.000000	2.49645e-05	
80.000000	0.0574047 	80.000000	0.0624222 	80.000000	0.0623843 	80.000000	0.0622535 	80.000000	0.0620692 	80.000000	0.0623986 	80.000000	2.35321e-05	
85.000000	0.0548184 	85.000000	0.0595989 	85.000000	0.0595719 	85.000000	0.0594395 	85.000000	0.0592766 	85.000000	0.0595766 	85.000000	2.22609e-05	
90.000000	0.0524997 	90.000000	0.0570737 	90.000000	0.0570607 	90.000000	0.0569199 	90.000000	0.0567752 	90.000000	0.0570525 	90.000000	2.11249e-05	
95.000000	0.0504083 	95.000000	0.0548013 	95.000000	0.0547913 	95.000000	0.0546502 	95.000000	0.0545215 	95.000000	0.0547812 	95.000000	2.01033e-05	
100.000000	0.0485116 	100.000000	0.0527453 	100.000000	0.0527361 	100.000000	0.0525948 	100.000000	0.0524799 	100.000000	0.0527261 	100.000000	1.91794e-05	
105.000000	0.046783  	105.000000	0.0508757 	105.000000	0.0508652 	105.000000	0.0507243 	105.000000	0.0506214 	105.000000	0.0508574 	105.000000	1.83398e-05	
110.000000	0.0452006 	110.000000	0.0491682 	110.000000	0.0491607 	110.000000	0.0490146 	110.000000	0.0489225 	110.000000	0.0491507 	110.000000	1.75732e-05	
115.000000	0.0437461 	115.000000	0.0476024 	115.000000	0.0475935 	115.000000	0.0474458 	115.000000	0.047363  	115.000000	0.0475855 	115.000000	1.68704e-05	
120.000000	0.0424044 	120.000000	0.0461612 	120.000000	0.0461475 	120.000000	0.0460009 	120.000000	0.0459266 	120.000000	0.0461449 	120.000000	1.62237e-05	
125.000000	0.0411624 	125.000000	0.0448301 	125.000000	0.0448121 	125.000000	0.0446657 	125.000000	0.0445989 	125.000000	0.0448145 	125.000000	1.56265e-05	
130.000000	0.0400091 	130.000000	0.0435969 	130.000000	0.043574  	130.000000	0.0434282 	130.000000	0.0433683 	130.000000	0.0435818 	130.000000	1.50733e-05	
135.000000	0.0389352 	135.000000	0.0424511 	135.000000	0.0424232 	135.000000	0.0422778 	135.000000	0.042224  	135.000000	0.0424366 	135.000000	1.45594e-05	
140.000000	0.0379326 	140.000000	0.0413837 	140.000000	0.0413506 	140.000000	0.0412058 	140.000000	0.0411577 	140.000000	0.0413696 	140.000000	1.40806e-05	
145.000000	0.0369941 	145.000000	0.0403869 	145.000000	0.0403485 	145.000000	0.0402043 	145.000000	0.0401611 	145.000000	0.0403732 	145.000000	1.36334e-05	
150.000000	0.0361136 	150.000000	0.0394537 	150.000000	0.0394102 	150.000000	0.0392665 	150.000000	0.0392281 	150.000000	0.0394405 	150.000000	1.32148e-05	
155.000000	0.0348739 	155.000000	0.0385784 	155.000000	0.0385297 	155.000000	0.0383866 	155.000000	0.0383524 	155.000000	0.0385656 	155.000000	1.28221e-05	
160.000000	0.0341472 	160.000000	0.0377556 	160.000000	0.0377019 	160.000000	0.0375594 	160.000000	0.037529  	160.000000	0.0377431 	160.000000	1.24528e-05	
165.000000	0.033462  	165.000000	0.0369807 	165.000000	0.0369221 	165.000000	0.0367802 	165.000000	0.0367535 	165.000000	0.0369686 	165.000000	1.2105e-05	
170.000000	0.0328147 	170.000000	0.0362497 	170.000000	0.0361863 	170.000000	0.0360449 	170.000000	0.0360215 	170.000000	0.0362379 	170.000000	1.17768e-05	
175.000000	0.0322022 	175.000000	0.0355589 	175.000000	0.0354909 	175.000000	0.0353501 	175.000000	0.0353297 	175.000000	0.0355474 	175.000000	1.14666e-05	
180.000000	0.0316217 	180.000000	0.034905  	180.000000	0.0348326 	180.000000	0.0346923 	180.000000	0.0346748 	180.000000	0.0348939 	180.000000	1.11729e-05	
185.000000	0.0310708 	185.000000	0.0342853 	185.000000	0.0342085 	185.000000	0.0340688 	185.000000	0.0340539 	185.000000	0.0342744 	185.000000	1.08944e-05	
190.000000	0.0305472 	190.000000	0.033697  	190.000000	0.0336161 	190.000000	0.033477  	190.000000	0.0334645 	190.000000	0.0336864 	190.000000	1.063e-05 	
195.000000	0.0300489 	195.000000	0.0331378 	195.000000	0.033053  	195.000000	0.0329144 	195.000000	0.0329043 	195.000000	0.0331275 	195.000000	1.03785e-05	
200.000000	0.0295742 	200.000000	0.0326057 	200.000000	0.0325171 	200.000000	0.032379  	200.000000	0.032371  	200.000000	0.0325956 	200.000000	1.01391e-05	
210.000000	0.0286888 	210.000000	0.031615  	210.000000	0.0315194 	210.000000	0.0313824 	210.000000	0.0313783 	210.000000	0.0316053 	210.000000	9.69314e-06	
220.000000	0.0278796 	220.000000	0.0307117 	220.000000	0.0306097 	220.000000	0.0304737 	220.000000	0.030473  	220.000000	0.0307024 	220.000000	9.28607e-06	
230.000000	0.027137  	230.000000	0.0298846 	230.000000	0.0297769 	230.000000	0.0296418 	230.000000	0.0296442 	230.000000	0.0298757 	230.000000	8.91296e-06	
240.000000	0.0264532 	240.000000	0.0291246 	240.000000	0.0290117 	240.000000	0.0288776 	240.000000	0.0288827 	240.000000	0.0291161 	240.000000	8.5697e-06	
250.000000	0.0258213 	250.000000	0.0284239 	250.000000	0.0283068 	250.000000	0.0281732 	250.000000	0.0281807 	250.000000	0.0284157 	250.000000	8.2528e-06	
260.000000	0.0252357 	260.000000	0.0277758 	260.000000	0.0276532 	260.000000	0.0275219 	260.000000	0.0275315 	260.000000	0.0277678 	260.000000	7.9593e-06	
270.000000	0.0246914 	270.000000	0.0271746 	270.000000	0.0270461 	270.000000	0.026918  	270.000000	0.0269296 	270.000000	0.027167  	270.000000	7.68667e-06	
280.000000	0.0241842 	280.000000	0.0266156 	280.000000	0.0264842 	280.000000	0.0263566 	280.000000	0.0263699 	280.000000	0.0266081 	280.000000	7.43274e-06	
290.000000	0.0237105 	290.000000	0.0260944 	290.000000	0.0259603 	290.000000	0.0258334 	290.000000	0.0258484 	290.000000	0.0260872 	290.000000	7.19562e-06	
300.000000	0.0232671 	300.000000	0.0256074 	300.000000	0.0254709 	300.000000	0.0253447 	300.000000	0.0253612 	300.000000	0.0256004 	300.000000	6.97368e-06	
