*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
560.000000	0.00704296	560.000000	0.00617578	560.000000	0.00609215	560.000000	0.00607829	560.000000	0.00609209	560.000000	0.00617451	560.000000	1.26902e-06	
580.000000	0.00694454	580.000000	0.00609758	580.000000	0.00601391	580.000000	0.00600026	580.000000	0.00601394	580.000000	0.00609635	580.000000	1.22861e-06	
600.000000	0.006853  	600.000000	0.00602497	600.000000	0.00594125	600.000000	0.00592788	600.000000	0.00594146	600.000000	0.00602377	600.000000	1.19078e-06	
620.000000	0.00676771	620.000000	0.00595742	620.000000	0.00587381	620.000000	0.0058606 	620.000000	0.00587408	620.000000	0.00595626	620.000000	1.15529e-06	
640.000000	0.00668812	640.000000	0.00589448	640.000000	0.00581139	640.000000	0.00579795	640.000000	0.00581134	640.000000	0.00589335	640.000000	1.12193e-06	
660.000000	0.00661372	660.000000	0.00583573	660.000000	0.00575314	660.000000	0.00573953	660.000000	0.00575283	660.000000	0.00583464	660.000000	1.09051e-06	
680.000000	0.00654409	680.000000	0.00578081	680.000000	0.00569841	680.000000	0.00568494	680.000000	0.00569817	680.000000	0.00577975	680.000000	1.06087e-06	
700.000000	0.00647883	700.000000	0.00572942	700.000000	0.00564712	700.000000	0.00563388	700.000000	0.00564703	700.000000	0.00572838	700.000000	1.03285e-06	
720.000000	0.00641762	720.000000	0.00568125	720.000000	0.00559915	720.000000	0.00558605	720.000000	0.00559912	720.000000	0.00568024	720.000000	1.00632e-06	
740.000000	0.00636012	740.000000	0.00563606	740.000000	0.00555413	740.000000	0.00554118	740.000000	0.00555418	740.000000	0.00563508	740.000000	9.81169e-07	
760.000000	0.00630607	760.000000	0.00559361	760.000000	0.0055118 	760.000000	0.00549904	760.000000	0.00551198	760.000000	0.00559266	760.000000	9.57289e-07	
