*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
170.000000	0.0237714 	170.000000	0.0244776 	170.000000	0.0243324 	170.000000	0.0242525 	170.000000	0.0243336 	170.000000	0.0244701 	170.000000	7.46474e-06	
175.000000	0.0233276 	175.000000	0.0240101 	175.000000	0.0238651 	175.000000	0.023785  	175.000000	0.0238657 	175.000000	0.0240029 	175.000000	7.26777e-06	
180.000000	0.0229071 	180.000000	0.0235677 	180.000000	0.0234225 	180.000000	0.0233424 	180.000000	0.0234227 	180.000000	0.0235606 	180.000000	7.08129e-06	
185.000000	0.022508  	185.000000	0.0231482 	185.000000	0.023003  	185.000000	0.022923  	185.000000	0.0230027 	185.000000	0.0231413 	185.000000	6.90448e-06	
190.000000	0.0221287 	190.000000	0.0227501 	190.000000	0.0226049 	190.000000	0.0225248 	190.000000	0.0226041 	190.000000	0.0227433 	190.000000	6.7366e-06	
195.000000	0.0217678 	195.000000	0.0223716 	195.000000	0.0222255 	195.000000	0.0221463 	195.000000	0.0222252 	195.000000	0.022365  	195.000000	6.57698e-06	
200.000000	0.0214238 	200.000000	0.0220114 	200.000000	0.0218637 	200.000000	0.0217861 	200.000000	0.0218645 	200.000000	0.022005  	200.000000	6.42502e-06	
210.000000	0.0207824 	210.000000	0.0213408 	210.000000	0.0211924 	210.000000	0.0211156 	210.000000	0.0211932 	210.000000	0.0213346 	210.000000	6.14193e-06	
220.000000	0.0201962 	220.000000	0.0207292 	220.000000	0.0205809 	220.000000	0.0205042 	220.000000	0.020581  	220.000000	0.0207233 	220.000000	5.88357e-06	
230.000000	0.0196582 	230.000000	0.0201692 	230.000000	0.0200214 	230.000000	0.0199446 	230.000000	0.0200206 	230.000000	0.0201635 	230.000000	5.64679e-06	
240.000000	0.0191629 	240.000000	0.0196546 	240.000000	0.0195053 	240.000000	0.0194305 	240.000000	0.0195057 	240.000000	0.0196491 	240.000000	5.42896e-06	
250.000000	0.0187051 	250.000000	0.01918   	250.000000	0.0190303 	250.000000	0.0189566 	250.000000	0.019031  	250.000000	0.0191748 	250.000000	5.22787e-06	
260.000000	0.0182809 	260.000000	0.0187411 	260.000000	0.0185922 	260.000000	0.0185184 	260.000000	0.0185921 	260.000000	0.0187361 	260.000000	5.04165e-06	
270.000000	0.0178866 	270.000000	0.018334  	270.000000	0.0181857 	270.000000	0.0181122 	270.000000	0.0181852 	270.000000	0.0183291 	270.000000	4.86868e-06	
