*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
480.000000	0.000510425	480.000000	0.000563977	480.000000	0.000556522	480.000000	0.000555967	480.000000	0.000554179	480.000000	0.000563851	480.000000	1.26404e-07	
490.000000	0.000505773	490.000000	0.000559004	490.000000	0.000551526	490.000000	0.000550975	490.000000	0.000549209	490.000000	0.00055888	490.000000	1.2401e-07	
500.000000	0.000501309	500.000000	0.000554237	500.000000	0.000546732	500.000000	0.000546192	500.000000	0.000544447	500.000000	0.000554115	500.000000	1.21708e-07	
520.000000	0.000492906	520.000000	0.000545275	520.000000	0.000537732	520.000000	0.000537204	520.000000	0.000535499	520.000000	0.000545158	520.000000	1.17359e-07	
540.000000	0.00048514	540.000000	0.000537008	540.000000	0.000529437	540.000000	0.000528917	540.000000	0.000527249	540.000000	0.000536895	540.000000	1.1332e-07	
560.000000	0.000477945	560.000000	0.000529363	560.000000	0.000521768	560.000000	0.000521258	560.000000	0.000519624	560.000000	0.000529253	560.000000	1.09559e-07	
580.000000	0.000471267	580.000000	0.000522277	580.000000	0.000514664	580.000000	0.000514163	580.000000	0.00051256	580.000000	0.000522171	580.000000	1.06047e-07	
600.000000	0.000465055	600.000000	0.000515696	600.000000	0.000508068	600.000000	0.000507575	600.000000	0.000506001	600.000000	0.000515594	600.000000	1.02761e-07	
620.000000	0.000459267	620.000000	0.000509573	620.000000	0.000501932	620.000000	0.000501446	620.000000	0.000499899	620.000000	0.000509473	620.000000	9.96792e-08	
640.000000	0.000453865	640.000000	0.000503865	640.000000	0.000496214	640.000000	0.000495733	640.000000	0.000494212	640.000000	0.000503768	640.000000	9.67827e-08	
660.000000	0.000448816	660.000000	0.000498536	660.000000	0.000490871	660.000000	0.000490399	660.000000	0.000488902	660.000000	0.000498442	660.000000	9.40552e-08	
680.000000	0.000444091	680.000000	0.000493553	680.000000	0.000485872	680.000000	0.00048541	680.000000	0.000483935	680.000000	0.000493461	680.000000	9.14822e-08	
700.000000	0.000439663	700.000000	0.000488887	700.000000	0.000481203	700.000000	0.000480737	700.000000	0.000479283	700.000000	0.000488798	700.000000	8.90508e-08	
720.000000	0.000435509	720.000000	0.000484513	720.000000	0.00047684	720.000000	0.000476354	720.000000	0.000474919	720.000000	0.000484426	720.000000	8.67494e-08	
740.000000	0.000431607	740.000000	0.000480407	740.000000	0.000472739	740.000000	0.000472237	740.000000	0.000470821	740.000000	0.000480322	740.000000	8.45679e-08	
760.000000	0.000427939	760.000000	0.000476548	760.000000	0.000468866	760.000000	0.000468364	760.000000	0.000466966	760.000000	0.000476466	760.000000	8.2497e-08	
780.000000	0.000424488	780.000000	0.000472919	780.000000	0.00046521	780.000000	0.000464718	780.000000	0.000463336	780.000000	0.000472839	780.000000	8.05283e-08	
