*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al
250.000000	0.190262  	250.000000	0.125206  	250.000000	0.124905  	250.000000	0.124111  	250.000000	0.124896  	250.000000	0.125173  	250.000000	3.29612e-05
260.000000	0.185946  	260.000000	0.122572  	260.000000	0.122221  	260.000000	0.12144   	260.000000	0.122218  	260.000000	0.12254   	260.000000	3.18083e-05
270.000000	0.181936  	270.000000	0.120127  	270.000000	0.119723  	270.000000	0.118961  	270.000000	0.119732  	270.000000	0.120096  	270.000000	3.07367e-05
280.000000	0.178199  	280.000000	0.117852  	280.000000	0.117413  	280.000000	0.116653  	280.000000	0.117419  	280.000000	0.117822  	280.000000	2.9738e-05
290.000000	0.174709  	290.000000	0.115729  	290.000000	0.115257  	290.000000	0.114501  	290.000000	0.11526   	290.000000	0.115701  	290.000000	2.88047e-05
300.000000	0.171441  	300.000000	0.113745  	300.000000	0.113241  	300.000000	0.11249   	300.000000	0.113242  	300.000000	0.113717  	300.000000	2.79306e-05
310.000000	0.168376  	310.000000	0.111887  	310.000000	0.111353  	310.000000	0.110605  	310.000000	0.111353  	310.000000	0.111859  	310.000000	2.71102e-05
320.000000	0.165495  	320.000000	0.110142  	320.000000	0.109581  	320.000000	0.108837  	320.000000	0.109579  	320.000000	0.110116  	320.000000	2.63386e-05
330.000000	0.162782  	330.000000	0.108501  	330.000000	0.107914  	330.000000	0.107175  	330.000000	0.107911  	330.000000	0.108476  	330.000000	2.56115e-05
340.000000	0.160223  	340.000000	0.106956  	340.000000	0.106347  	340.000000	0.10561   	340.000000	0.106341  	340.000000	0.106931  	340.000000	2.49251e-05
350.000000	0.157806  	350.000000	0.105498  	350.000000	0.104869  	350.000000	0.104135  	350.000000	0.10486   	350.000000	0.105473  	350.000000	2.42761e-05
360.000000	0.15552   	360.000000	0.10412   	360.000000	0.103467  	360.000000	0.102741  	360.000000	0.103462  	360.000000	0.104096  	360.000000	2.36614e-05
370.000000	0.153353  	370.000000	0.102816  	370.000000	0.102136  	370.000000	0.101423  	370.000000	0.10214   	370.000000	0.102793  	370.000000	2.30783e-05
380.000000	0.151298  	380.000000	0.101581  	380.000000	0.100882  	380.000000	0.100175  	380.000000	0.100887  	380.000000	0.101559  	380.000000	2.25244e-05
390.000000	0.149346  	390.000000	0.100409  	390.000000	0.0996972 	390.000000	0.0989921 	390.000000	0.0996998 	390.000000	0.100387  	390.000000	2.19976e-05
400.000000	0.147489  	400.000000	0.0992964 	400.000000	0.0985723 	400.000000	0.0978692 	400.000000	0.0985729 	400.000000	0.0992749 	400.000000	2.14959e-05
410.000000	0.145722  	410.000000	0.098238  	410.000000	0.0975023 	410.000000	0.0968022 	410.000000	0.0975017 	410.000000	0.0982169 	410.000000	2.10175e-05
420.000000	0.144038  	420.000000	0.0972304 	420.000000	0.0964843 	420.000000	0.0957873 	420.000000	0.0964829 	420.000000	0.0972099 	420.000000	2.05608e-05
430.000000	0.142431  	430.000000	0.0962703 	430.000000	0.0955159 	430.000000	0.094821  	430.000000	0.095513  	430.000000	0.0962502 	430.000000	2.01243e-05
440.000000	0.140896  	440.000000	0.0953545 	440.000000	0.0945939 	440.000000	0.0939001 	440.000000	0.0945885 	440.000000	0.0953348 	440.000000	1.97067e-05
450.000000	0.139429  	450.000000	0.0944802 	450.000000	0.093713  	450.000000	0.0930217 	450.000000	0.0937065 	450.000000	0.0944609 	450.000000	1.93069e-05
460.000000	0.138026  	460.000000	0.0936447 	460.000000	0.0928677 	460.000000	0.0921831 	460.000000	0.0928645 	460.000000	0.0936258 	460.000000	1.89236e-05
470.000000	0.136683  	470.000000	0.0928457 	470.000000	0.0920577 	470.000000	0.0913818 	470.000000	0.0920601 	470.000000	0.0928272 	470.000000	1.85558e-05
480.000000	0.135396  	480.000000	0.092081  	480.000000	0.0912853 	480.000000	0.0906155 	480.000000	0.0912905 	480.000000	0.0920627 	480.000000	1.82026e-05
490.000000	0.134162  	490.000000	0.0913484 	490.000000	0.0905498 	490.000000	0.0898823 	490.000000	0.0905541 	490.000000	0.0913305 	490.000000	1.78632e-05
500.000000	0.132978  	500.000000	0.0906462 	500.000000	0.0898468 	500.000000	0.0891801 	500.000000	0.089849  	500.000000	0.0906287 	500.000000	1.75367e-05
520.000000	0.130749  	520.000000	0.0893261 	520.000000	0.0885254 	520.000000	0.0878619 	520.000000	0.0885252 	520.000000	0.0893092 	520.000000	1.69197e-05
540.000000	0.128689  	540.000000	0.0881083 	540.000000	0.0873082 	540.000000	0.0866483 	540.000000	0.0873063 	540.000000	0.088092  	540.000000	1.63463e-05
560.000000	0.126781  	560.000000	0.0869822 	560.000000	0.086185  	560.000000	0.0855283 	560.000000	0.0861814 	560.000000	0.0869664 	560.000000	1.5812e-05
580.000000	0.125009  	580.000000	0.0859386 	580.000000	0.0851444 	580.000000	0.0844925 	580.000000	0.0851407 	580.000000	0.0859233 	580.000000	1.53128e-05
600.000000	0.123361  	600.000000	0.0849694 	600.000000	0.0841766 	600.000000	0.0835325 	600.000000	0.0841764 	600.000000	0.0849546 	600.000000	1.48454e-05
620.000000	0.121826  	620.000000	0.0840678 	620.000000	0.0832776 	620.000000	0.0826411 	620.000000	0.0832806 	620.000000	0.0840534 	620.000000	1.44068e-05
640.000000	0.120393  	640.000000	0.0832275 	640.000000	0.0824453 	640.000000	0.081812  	640.000000	0.0824476 	640.000000	0.0832135 	640.000000	1.39944e-05
660.000000	0.119054  	660.000000	0.0824432 	660.000000	0.0816711 	660.000000	0.0810395 	660.000000	0.0816714 	660.000000	0.0824296 	660.000000	1.36059e-05
680.000000	0.117801  	680.000000	0.08171   	680.000000	0.0809479 	680.000000	0.0803187 	680.000000	0.0809469 	680.000000	0.0816968 	680.000000	1.32391e-05
700.000000	0.116626  	700.000000	0.0810237 	700.000000	0.0802726 	700.000000	0.0796452 	700.000000	0.0802701 	700.000000	0.0810108 	700.000000	1.28924e-05
720.000000	0.115524  	720.000000	0.0803805 	720.000000	0.0796413 	720.000000	0.0790151 	720.000000	0.0796367 	720.000000	0.0803679 	720.000000	1.25641e-05
740.000000	0.114489  	740.000000	0.079777  	740.000000	0.0790477 	740.000000	0.0784247 	740.000000	0.0790432 	740.000000	0.0797647 	740.000000	1.22527e-05
760.000000	0.113516  	760.000000	0.0792102 	760.000000	0.0784874 	760.000000	0.0778711 	760.000000	0.0784867 	760.000000	0.0791982 	760.000000	1.1957e-05
780.000000	0.112601  	780.000000	0.0786772 	780.000000	0.077961  	780.000000	0.0773512 	780.000000	0.077964  	780.000000	0.0786655 	780.000000	1.16758e-05
800.000000	0.111739  	800.000000	0.0781757 	800.000000	0.0774689 	800.000000	0.0768626 	800.000000	0.0774727 	800.000000	0.0781643 	800.000000	1.1408e-05
820.000000	0.110926  	820.000000	0.0777034 	820.000000	0.0770081 	820.000000	0.0764029 	820.000000	0.0770105 	820.000000	0.0776922 	820.000000	1.11527e-05
840.000000	0.110161  	840.000000	0.0772583 	840.000000	0.0765745 	840.000000	0.0759701 	840.000000	0.0765753 	840.000000	0.0772473 	840.000000	1.0909e-05
860.000000	0.109438  	860.000000	0.0768384 	860.000000	0.0761666 	860.000000	0.0755636 	860.000000	0.0761664 	860.000000	0.0768278 	860.000000	1.06762e-05
