*Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
11704.120616	1.16933e+07	1.29827e+07	1.57096e+07	1.57738e+07	32462.4   	59434.2   	12880.5   	13595.5   	19806.3   
11797.753573	1.17498e+07	1.30611e+07	1.58317e+07	1.58964e+07	32594.1   	60024.1   	12940.1   	13661     	19905.4   
11891.386530	1.18063e+07	1.31394e+07	1.59539e+07	1.6019e+07	32725.8   	60614     	12999.8   	13726.5   	20004.5   
11985.019487	1.18627e+07	1.32177e+07	1.6076e+07	1.61416e+07	32857.5   	61203.9   	13059.4   	13792     	20103.6   
12078.652444	1.19155e+07	1.3293e+07	1.61974e+07	1.62634e+07	32983.4   	61806.6   	13117.3   	13855.1   	20199.3   
12172.285401	1.19677e+07	1.33678e+07	1.63186e+07	1.6385e+07	33108.2   	62411.8   	13174.8   	13917.8   	20294.3   
12265.918358	1.20198e+07	1.34425e+07	1.64397e+07	1.65066e+07	33233     	63017     	13232.3   	13980.5   	20389.3   
12359.551315	1.20719e+07	1.35172e+07	1.65609e+07	1.66283e+07	33357.8   	63622.2   	13289.9   	14043.2   	20484.4   
12453.184272	1.2124e+07	1.3592e+07	1.66821e+07	1.67499e+07	33482.6   	64227.4   	13347.4   	14105.9   	20579.4   
12546.817228	1.21761e+07	1.36667e+07	1.68033e+07	1.68715e+07	33607.4   	64832.6   	13404.9   	14168.6   	20674.5   
12640.450185	1.22283e+07	1.37414e+07	1.69245e+07	1.69932e+07	33732.2   	65437.8   	13462.5   	14231.3   	20769.5   
12734.083142	1.22804e+07	1.38162e+07	1.70457e+07	1.71148e+07	33857     	66043     	13520     	14294     	20864.5   
12827.716099	1.23325e+07	1.38909e+07	1.71669e+07	1.72365e+07	33981.8   	66648.2   	13577.5   	14356.7   	20959.6   
12921.349056	1.23846e+07	1.39656e+07	1.72881e+07	1.73581e+07	34106.6   	67253.4   	13635.1   	14419.4   	21054.6   
