*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al
185.000000	0.0372629 	185.000000	0.0362639 	185.000000	0.0360604 	185.000000	0.0358988 	185.000000	0.0360611 	185.000000	0.0362522 	185.000000	1.16366e-05
190.000000	0.036635  	190.000000	0.0356511 	190.000000	0.0354477 	190.000000	0.0352868 	190.000000	0.0354483 	190.000000	0.0356398 	190.000000	1.13552e-05
195.000000	0.0360374 	195.000000	0.0350686 	195.000000	0.0348652 	195.000000	0.0347049 	195.000000	0.0348657 	195.000000	0.0350575 	195.000000	1.10876e-05
200.000000	0.035468  	200.000000	0.0345141 	200.000000	0.0343108 	200.000000	0.034151  	200.000000	0.034311  	200.000000	0.0345032 	200.000000	1.08328e-05
210.000000	0.0344062 	210.000000	0.0334814 	210.000000	0.0332782 	210.000000	0.0331197 	210.000000	0.0332782 	210.000000	0.0334711 	210.000000	1.0358e-05
220.000000	0.0334357 	220.000000	0.0325395 	220.000000	0.0323364 	220.000000	0.0321791 	220.000000	0.032336  	220.000000	0.0325296 	220.000000	9.92458e-06
230.000000	0.0325451 	230.000000	0.0316768 	230.000000	0.031474  	230.000000	0.0313178 	230.000000	0.0314733 	230.000000	0.0316673 	230.000000	9.52726e-06
240.000000	0.031725  	240.000000	0.0308839 	240.000000	0.0306814 	240.000000	0.0305263 	240.000000	0.0306804 	240.000000	0.0308747 	240.000000	9.16165e-06
250.000000	0.0309672 	250.000000	0.0301525 	250.000000	0.0299512 	250.000000	0.0297967 	250.000000	0.0299494 	250.000000	0.0301437 	250.000000	8.82407e-06
260.000000	0.0302649 	260.000000	0.029476  	260.000000	0.0292738 	260.000000	0.0291219 	260.000000	0.0292732 	260.000000	0.0294675 	260.000000	8.51136e-06
270.000000	0.0296121 	270.000000	0.0288484 	270.000000	0.0286445 	270.000000	0.0284963 	270.000000	0.0286463 	270.000000	0.0288401 	270.000000	8.22084e-06
280.000000	0.0290039 	280.000000	0.0282645 	280.000000	0.0280621 	280.000000	0.0279145 	280.000000	0.0280633 	280.000000	0.0282566 	280.000000	7.95021e-06
290.000000	0.0284358 	290.000000	0.0277202 	290.000000	0.0275193 	290.000000	0.0273724 	290.000000	0.02752   	290.000000	0.0277125 	290.000000	7.69747e-06
300.000000	0.0279039 	300.000000	0.0272115 	300.000000	0.0270121 	300.000000	0.0268661 	300.000000	0.0270125 	300.000000	0.027204  	300.000000	7.46087e-06
310.000000	0.027405  	310.000000	0.0267351 	310.000000	0.0265375 	310.000000	0.0263922 	310.000000	0.0265375 	310.000000	0.0267278 	310.000000	7.23891e-06
320.000000	0.0269361 	320.000000	0.026288  	320.000000	0.0260924 	320.000000	0.0259478 	320.000000	0.026092  	320.000000	0.026281  	320.000000	7.03024e-06
330.000000	0.0264946 	330.000000	0.0258678 	330.000000	0.025674  	330.000000	0.0255303 	330.000000	0.0256734 	330.000000	0.025861  	330.000000	6.83369e-06
340.000000	0.0260782 	340.000000	0.0254721 	340.000000	0.0252806 	340.000000	0.0251375 	340.000000	0.0252796 	340.000000	0.0254654 	340.000000	6.64823e-06
350.000000	0.0256848 	350.000000	0.0250988 	350.000000	0.0249099 	350.000000	0.0247671 	350.000000	0.0249083 	350.000000	0.0250923 	350.000000	6.47293e-06
360.000000	0.0253126 	360.000000	0.0247462 	360.000000	0.0245587 	360.000000	0.0244176 	360.000000	0.0245577 	360.000000	0.0247399 	360.000000	6.30696e-06
370.000000	0.02496   	370.000000	0.0244127 	370.000000	0.0242257 	370.000000	0.0240871 	370.000000	0.0242264 	370.000000	0.0244065 	370.000000	6.1496e-06
380.000000	0.0246255 	380.000000	0.0240967 	380.000000	0.0239116 	380.000000	0.0237743 	380.000000	0.0239127 	380.000000	0.0240907 	380.000000	6.00018e-06
390.000000	0.0243077 	390.000000	0.023797  	390.000000	0.0236149 	390.000000	0.0234778 	390.000000	0.0236154 	390.000000	0.0237911 	390.000000	5.85811e-06
400.000000	0.0240056 	400.000000	0.0235124 	400.000000	0.0233331 	400.000000	0.0231965 	400.000000	0.0233333 	400.000000	0.0235067 	400.000000	5.72285e-06
410.000000	0.0237179 	410.000000	0.0232418 	410.000000	0.0230653 	410.000000	0.0229292 	410.000000	0.0230652 	410.000000	0.0232362 	410.000000	5.59392e-06
420.000000	0.0234437 	420.000000	0.0229843 	420.000000	0.0228105 	420.000000	0.022675  	420.000000	0.0228102 	420.000000	0.0229788 	420.000000	5.47088e-06
430.000000	0.0231822 	430.000000	0.0227389 	430.000000	0.022568  	430.000000	0.022433  	430.000000	0.0225675 	430.000000	0.0227336 	430.000000	5.35333e-06
440.000000	0.0229324 	440.000000	0.0225049 	440.000000	0.0223372 	440.000000	0.0222023 	440.000000	0.0223361 	440.000000	0.0224997 	440.000000	5.2409e-06
