Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
440.000000	0.0199466 	440.000000	0.0204793 	440.000000	0.0203056 	440.000000	0.020193  	440.000000	0.0203047 	440.000000	0.0204748 	440.000000	4.42287e-06	
450.000000	0.019739  	450.000000	0.0202708 	450.000000	0.0200966 	450.000000	0.0199844 	450.000000	0.0200955 	450.000000	0.0202665 	450.000000	4.33166e-06	
460.000000	0.0195404 	460.000000	0.0200717 	460.000000	0.0198963 	460.000000	0.0197852 	460.000000	0.0198958 	460.000000	0.0200674 	460.000000	4.24427e-06	
470.000000	0.0193502 	470.000000	0.0198812 	470.000000	0.0197045 	470.000000	0.0195948 	470.000000	0.0197049 	470.000000	0.0198771 	470.000000	4.16045e-06	
480.000000	0.019168  	480.000000	0.019699  	480.000000	0.0195214 	480.000000	0.0194127 	480.000000	0.0195223 	480.000000	0.0196949 	480.000000	4.07999e-06	
490.000000	0.0189933 	490.000000	0.0195244 	490.000000	0.0193466 	490.000000	0.0192383 	490.000000	0.0193474 	490.000000	0.0195204 	490.000000	4.00269e-06	
500.000000	0.0188257 	500.000000	0.0193571 	500.000000	0.0191794 	500.000000	0.0190712 	500.000000	0.0191798 	500.000000	0.0193532 	500.000000	3.92837e-06	
520.000000	0.0185102 	520.000000	0.0190426 	520.000000	0.018865  	520.000000	0.0187573 	520.000000	0.0188649 	520.000000	0.0190388 	520.000000	3.78797e-06	
540.000000	0.0182185 	540.000000	0.0187526 	540.000000	0.0185749 	540.000000	0.0184679 	540.000000	0.0185746 	540.000000	0.0187489 	540.000000	3.65758e-06	
560.000000	0.0179483 	560.000000	0.0184844 	560.000000	0.0183069 	560.000000	0.0182004 	560.000000	0.0183064 	560.000000	0.0184808 	560.000000	3.53616e-06	
580.000000	0.0176975 	580.000000	0.0182358 	580.000000	0.0180584 	580.000000	0.0179526 	580.000000	0.0180578 	580.000000	0.0182324 	580.000000	3.4228e-06	
600.000000	0.0174643 	600.000000	0.018005  	600.000000	0.017827  	600.000000	0.0177225 	600.000000	0.017827  	600.000000	0.0180017 	600.000000	3.31671e-06	
