*Energy (MeV/u)1	0 - [He-base] F.Hubert et al. AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al.Pergamon Press.NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick. improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
200.000000	0.0116774 	200.000000	0.0136157 	200.000000	0.0136393 	200.000000	0.0135822 	200.000000	0.0136229 	200.000000	0.0136111 	200.000000	4.55699e-06	
210.000000	0.0113278 	210.000000	0.013201  	210.000000	0.0132218 	210.000000	0.0131651 	210.000000	0.0132059 	210.000000	0.0131966 	210.000000	4.35659e-06	
220.000000	0.0110083 	220.000000	0.0128227 	220.000000	0.0128412 	220.000000	0.012785  	220.000000	0.0128257 	220.000000	0.0128185 	220.000000	4.17368e-06	
230.000000	0.0107151 	230.000000	0.0124764 	230.000000	0.0124929 	230.000000	0.012437  	230.000000	0.0124778 	230.000000	0.0124724 	230.000000	4.00602e-06	
240.000000	0.0104451 	240.000000	0.0121581 	240.000000	0.0121729 	240.000000	0.0121175 	240.000000	0.0121581 	240.000000	0.0121542 	240.000000	3.85178e-06	
250.000000	0.0101956 	250.000000	0.0118646 	250.000000	0.0118782 	250.000000	0.011823  	250.000000	0.0118635 	250.000000	0.0118609 	250.000000	3.70938e-06	
260.000000	0.00996434	260.000000	0.0115931 	260.000000	0.011605  	260.000000	0.0115507 	260.000000	0.0115912 	260.000000	0.0115896 	260.000000	3.57749e-06	
270.000000	0.00974943	270.000000	0.0113413 	270.000000	0.0113514 	270.000000	0.0112984 	270.000000	0.0113387 	270.000000	0.0113379 	270.000000	3.45498e-06	
280.000000	0.00954918	280.000000	0.0111071 	280.000000	0.0111166 	280.000000	0.0110638 	280.000000	0.011104  	280.000000	0.0111038 	280.000000	3.34087e-06	
290.000000	0.00936213	290.000000	0.0108888 	290.000000	0.0108978 	290.000000	0.0108453 	290.000000	0.0108854 	290.000000	0.0108856 	290.000000	3.23432e-06	
300.000000	0.00918703	300.000000	0.0106848 	300.000000	0.0106935 	300.000000	0.0106413 	300.000000	0.0106812 	300.000000	0.0106817 	300.000000	3.13458e-06	
310.000000	0.00902277	310.000000	0.0104937 	310.000000	0.0105023 	310.000000	0.0104504 	310.000000	0.0104901 	310.000000	0.0104907 	310.000000	3.04103e-06	
320.000000	0.00886839	320.000000	0.0103145 	320.000000	0.0103231 	320.000000	0.0102714 	320.000000	0.010311  	320.000000	0.0103115 	320.000000	2.95308e-06	
330.000000	0.00872302	330.000000	0.010146  	330.000000	0.0101546 	330.000000	0.0101032 	330.000000	0.0101427 	330.000000	0.0101431 	330.000000	2.87026e-06	
340.000000	0.00858591	340.000000	0.00998733	340.000000	0.00999625	340.000000	0.00994507	340.000000	0.00998443	340.000000	0.00998454	340.000000	2.79212e-06	
350.000000	0.00845639	350.000000	0.00983769	350.000000	0.00984704	350.000000	0.009796  	350.000000	0.0098352 	350.000000	0.00983497	350.000000	2.71826e-06	
360.000000	0.00833386	360.000000	0.00969634	360.000000	0.00970575	360.000000	0.00965531	360.000000	0.00969436	360.000000	0.00969369	360.000000	2.64835e-06	
370.000000	0.00821776	370.000000	0.00956263	370.000000	0.00957155	370.000000	0.009522  	370.000000	0.00956093	370.000000	0.00956005	370.000000	2.58206e-06	
380.000000	0.00810763	380.000000	0.00943597	380.000000	0.00944493	380.000000	0.00939583	380.000000	0.0094346 	380.000000	0.00943345	380.000000	2.51913e-06	
390.000000	0.00800302	390.000000	0.00931584	390.000000	0.00932526	390.000000	0.00927625	390.000000	0.00931489	390.000000	0.00931338	390.000000	2.45929e-06	
400.000000	0.00790353	400.000000	0.00920177	400.000000	0.00921167	400.000000	0.00916279	400.000000	0.00920131	400.000000	0.00919936	400.000000	2.40234e-06	
410.000000	0.00780882	410.000000	0.00909331	410.000000	0.00910367	410.000000	0.00905501	410.000000	0.00909339	410.000000	0.00909096	410.000000	2.34805e-06	
420.000000	0.00771856	420.000000	0.00899009	420.000000	0.00900097	420.000000	0.00895252	420.000000	0.00899076	420.000000	0.00898779	420.000000	2.29624e-06	
430.000000	0.00763245	430.000000	0.00889175	430.000000	0.00890324	430.000000	0.00885494	430.000000	0.00889307	430.000000	0.0088895 	430.000000	2.24675e-06	
440.000000	0.00755022	440.000000	0.00879796	440.000000	0.00881019	440.000000	0.00876197	440.000000	0.00879996	440.000000	0.00879576	440.000000	2.19942e-06	
450.000000	0.00747162	450.000000	0.00870843	450.000000	0.00872133	450.000000	0.00867328	450.000000	0.00871115	450.000000	0.00870628	450.000000	2.15412e-06	
460.000000	0.00739644	460.000000	0.0086229 	460.000000	0.0086362 	460.000000	0.00858862	460.000000	0.00862637	460.000000	0.00862079	460.000000	2.1107e-06	
470.000000	0.00732447	470.000000	0.0085411 	470.000000	0.00855471	470.000000	0.00850772	470.000000	0.00854537	470.000000	0.00853903	470.000000	2.06906e-06	
480.000000	0.0072555 	480.000000	0.00846283	480.000000	0.00847692	480.000000	0.00843037	480.000000	0.00846789	480.000000	0.0084608 	480.000000	2.02909e-06	
490.000000	0.00718938	490.000000	0.00838786	490.000000	0.00840273	490.000000	0.00835633	490.000000	0.00839374	490.000000	0.00838587	490.000000	1.99069e-06	
500.000000	0.00712593	500.000000	0.008316  	500.000000	0.00833177	500.000000	0.00828543	500.000000	0.00832273	500.000000	0.00831405	500.000000	1.95376e-06	
520.000000	0.00700648	520.000000	0.00818094	520.000000	0.00819841	520.000000	0.0081523 	520.000000	0.00818939	520.000000	0.00817905	520.000000	1.88401e-06	
540.000000	0.00689609	540.000000	0.00805636	540.000000	0.00807554	540.000000	0.00802968	540.000000	0.00806656	540.000000	0.00805454	540.000000	1.81923e-06	
560.000000	0.00679382	560.000000	0.00794118	560.000000	0.0079621 	560.000000	0.00791646	560.000000	0.00795315	560.000000	0.00793942	560.000000	1.75889e-06	
580.000000	0.00669889	580.000000	0.00783444	580.000000	0.00785699	580.000000	0.00781168	580.000000	0.00784818	580.000000	0.00783274	580.000000	1.70257e-06	
600.000000	0.00661059	600.000000	0.00773533	600.000000	0.00775927	600.000000	0.0077145 	600.000000	0.00775084	600.000000	0.00773368	600.000000	1.64985e-06	
620.000000	0.00652832	620.000000	0.00764313	620.000000	0.00766844	620.000000	0.0076242 	620.000000	0.00766036	620.000000	0.00764153	620.000000	1.60041e-06	
640.000000	0.00645153	640.000000	0.0075572 	640.000000	0.00758414	640.000000	0.00754012	640.000000	0.00757613	640.000000	0.00755565	640.000000	1.55394e-06	
660.000000	0.00637977	660.000000	0.007477  	660.000000	0.00750562	660.000000	0.00746172	660.000000	0.00749758	660.000000	0.00747549	660.000000	1.51019e-06	
680.000000	0.0063126 	680.000000	0.00740202	680.000000	0.00743222	680.000000	0.00738849	680.000000	0.00742419	680.000000	0.00740055	680.000000	1.46891e-06	
700.000000	0.00624966	700.000000	0.00733184	700.000000	0.00736359	700.000000	0.00731998	700.000000	0.00735555	700.000000	0.00733041	700.000000	1.4299e-06	
720.000000	0.0061906 	720.000000	0.00726605	720.000000	0.00729934	720.000000	0.00725581	720.000000	0.00729124	720.000000	0.00726466	720.000000	1.39297e-06	
740.000000	0.00613514	740.000000	0.00720433	740.000000	0.00723891	740.000000	0.00719561	740.000000	0.00723091	740.000000	0.00720297	740.000000	1.35797e-06	
760.000000	0.006083  	760.000000	0.00714634	760.000000	0.00718192	760.000000	0.00713908	760.000000	0.00717426	760.000000	0.00714502	760.000000	1.32474e-06	
