*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
140.000000	2.05786e-07	140.000000	2.04174e-07	140.000000	2.0546e-07	140.000000	2.05167e-07	140.000000	2.05307e-07	140.000000	2.04103e-07	140.000000	7.09554e-11	
145.000000	2.00694e-07	145.000000	1.99297e-07	145.000000	2.00513e-07	145.000000	2.00231e-07	145.000000	2.00372e-07	145.000000	1.99228e-07	145.000000	6.86987e-11	
150.000000	1.95917e-07	150.000000	1.94733e-07	150.000000	1.95884e-07	150.000000	1.95609e-07	150.000000	1.95751e-07	150.000000	1.94666e-07	150.000000	6.65862e-11	
155.000000	1.89191e-07	155.000000	1.90453e-07	155.000000	1.91537e-07	155.000000	1.91272e-07	155.000000	1.91414e-07	155.000000	1.90388e-07	155.000000	6.46044e-11	
160.000000	1.85248e-07	160.000000	1.86431e-07	160.000000	1.87456e-07	160.000000	1.87193e-07	160.000000	1.87336e-07	160.000000	1.86368e-07	160.000000	6.27413e-11	
165.000000	1.8153e-07	165.000000	1.82644e-07	165.000000	1.83624e-07	165.000000	1.83351e-07	165.000000	1.83495e-07	165.000000	1.82583e-07	165.000000	6.09865e-11	
170.000000	1.78018e-07	170.000000	1.79072e-07	170.000000	1.8e-07   	170.000000	1.79726e-07	170.000000	1.79869e-07	170.000000	1.79012e-07	170.000000	5.93307e-11	
175.000000	1.74695e-07	175.000000	1.75697e-07	175.000000	1.76564e-07	175.000000	1.76299e-07	175.000000	1.76443e-07	175.000000	1.75639e-07	175.000000	5.77656e-11	
180.000000	1.71546e-07	180.000000	1.72503e-07	180.000000	1.73315e-07	180.000000	1.73055e-07	180.000000	1.73199e-07	180.000000	1.72447e-07	180.000000	5.62839e-11	
185.000000	1.68557e-07	185.000000	1.69476e-07	185.000000	1.70234e-07	185.000000	1.6998e-07	185.000000	1.70124e-07	185.000000	1.69422e-07	185.000000	5.4879e-11	
190.000000	1.65717e-07	190.000000	1.66604e-07	190.000000	1.67308e-07	190.000000	1.6706e-07	190.000000	1.67205e-07	190.000000	1.6655e-07	190.000000	5.3545e-11	
195.000000	1.63013e-07	195.000000	1.63874e-07	195.000000	1.64534e-07	195.000000	1.64285e-07	195.000000	1.6443e-07	195.000000	1.63822e-07	195.000000	5.22767e-11	
200.000000	1.60438e-07	200.000000	1.61277e-07	200.000000	1.61901e-07	200.000000	1.61644e-07	200.000000	1.61789e-07	200.000000	1.61226e-07	200.000000	5.10691e-11	
210.000000	1.55634e-07	210.000000	1.56442e-07	210.000000	1.56979e-07	210.000000	1.56728e-07	210.000000	1.56873e-07	210.000000	1.56393e-07	210.000000	4.88197e-11	
220.000000	1.51244e-07	220.000000	1.52034e-07	220.000000	1.52488e-07	220.000000	1.52245e-07	220.000000	1.5239e-07	220.000000	1.51987e-07	220.000000	4.67667e-11	
230.000000	1.47216e-07	230.000000	1.47999e-07	230.000000	1.48375e-07	230.000000	1.48141e-07	230.000000	1.48286e-07	230.000000	1.47954e-07	230.000000	4.48851e-11	
240.000000	1.43506e-07	240.000000	1.44292e-07	240.000000	1.44611e-07	240.000000	1.44372e-07	240.000000	1.44516e-07	240.000000	1.44249e-07	240.000000	4.31541e-11	
250.000000	1.40078e-07	250.000000	1.40875e-07	250.000000	1.41137e-07	250.000000	1.40897e-07	250.000000	1.41041e-07	250.000000	1.40833e-07	250.000000	4.15562e-11	
260.000000	1.36901e-07	260.000000	1.37714e-07	260.000000	1.37917e-07	260.000000	1.37685e-07	260.000000	1.37829e-07	260.000000	1.37674e-07	260.000000	4.00763e-11	
270.000000	1.33948e-07	270.000000	1.34783e-07	270.000000	1.34933e-07	270.000000	1.34707e-07	270.000000	1.3485e-07	270.000000	1.34744e-07	270.000000	3.87018e-11	
280.000000	1.31197e-07	280.000000	1.32057e-07	280.000000	1.32159e-07	280.000000	1.31939e-07	280.000000	1.32082e-07	280.000000	1.3202e-07	280.000000	3.74216e-11	
290.000000	1.28627e-07	290.000000	1.29516e-07	290.000000	1.29586e-07	290.000000	1.2936e-07	290.000000	1.29502e-07	290.000000	1.2948e-07	290.000000	3.62262e-11	
300.000000	1.26221e-07	300.000000	1.27142e-07	300.000000	1.27179e-07	300.000000	1.26951e-07	300.000000	1.27093e-07	300.000000	1.27107e-07	300.000000	3.51074e-11	
310.000000	1.23964e-07	310.000000	1.24919e-07	310.000000	1.24919e-07	310.000000	1.24698e-07	310.000000	1.24839e-07	310.000000	1.24885e-07	310.000000	3.4058e-11	
320.000000	1.21843e-07	320.000000	1.22833e-07	320.000000	1.22802e-07	320.000000	1.22585e-07	320.000000	1.22726e-07	320.000000	1.228e-07 	320.000000	3.30716e-11	
330.000000	1.19846e-07	330.000000	1.20873e-07	330.000000	1.20811e-07	330.000000	1.206e-07 	330.000000	1.2074e-07	330.000000	1.20841e-07	330.000000	3.21426e-11	
340.000000	1.17962e-07	340.000000	1.19027e-07	340.000000	1.18942e-07	340.000000	1.18732e-07	340.000000	1.18873e-07	340.000000	1.18996e-07	340.000000	3.12662e-11	
350.000000	1.16183e-07	350.000000	1.17286e-07	350.000000	1.17187e-07	350.000000	1.16973e-07	350.000000	1.17112e-07	350.000000	1.17255e-07	350.000000	3.04379e-11	
360.000000	1.14499e-07	360.000000	1.15641e-07	360.000000	1.15528e-07	360.000000	1.15312e-07	360.000000	1.15451e-07	360.000000	1.15611e-07	360.000000	2.96538e-11	
370.000000	1.12904e-07	370.000000	1.14085e-07	370.000000	1.13952e-07	370.000000	1.1374e-07	370.000000	1.13879e-07	370.000000	1.14056e-07	370.000000	2.89105e-11	
380.000000	1.11391e-07	380.000000	1.12611e-07	380.000000	1.1246e-07	380.000000	1.12252e-07	380.000000	1.1239e-07	380.000000	1.12583e-07	380.000000	2.82048e-11	
390.000000	1.09954e-07	390.000000	1.11213e-07	390.000000	1.11047e-07	390.000000	1.10842e-07	390.000000	1.1098e-07	390.000000	1.11185e-07	390.000000	2.75339e-11	
400.000000	1.08587e-07	400.000000	1.09885e-07	400.000000	1.09705e-07	400.000000	1.09504e-07	400.000000	1.09642e-07	400.000000	1.09858e-07	400.000000	2.68953e-11	
410.000000	1.07286e-07	410.000000	1.08622e-07	410.000000	1.08432e-07	410.000000	1.08234e-07	410.000000	1.08371e-07	410.000000	1.08596e-07	410.000000	2.62866e-11	
420.000000	1.06045e-07	420.000000	1.07421e-07	420.000000	1.07227e-07	420.000000	1.07025e-07	420.000000	1.07162e-07	420.000000	1.07395e-07	420.000000	2.57058e-11	
430.000000	1.04862e-07	430.000000	1.06276e-07	430.000000	1.06081e-07	430.000000	1.05875e-07	430.000000	1.06012e-07	430.000000	1.0625e-07	430.000000	2.5151e-11	
440.000000	1.03733e-07	440.000000	1.05183e-07	440.000000	1.04984e-07	440.000000	1.04779e-07	440.000000	1.04915e-07	440.000000	1.05159e-07	440.000000	2.46204e-11	
450.000000	1.02653e-07	450.000000	1.04141e-07	450.000000	1.03935e-07	450.000000	1.03734e-07	450.000000	1.0387e-07	450.000000	1.04116e-07	450.000000	2.41125e-11	
